,name,wine_url,productVarietal,productStock,productRegion,productPrice,productOrigin,productID,productCompetitiveIntensity,ProductAvailability,pProductID,description,pageName,shippingRegion,shipToState,priceCurrency,price,averageRating_bestRating,averageRating_worstRating,bestRating,worstRating,additionalType,uploadDate,prodAlcoholVolume_text,prodAlcoholPercent_percent,JS,WS,WW,D,BH,W&S,WE,RP,JD,SJ,V,CG,TP
w01,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut-with-ice-jacket/164614,Non-Vintage Sparkling Wine,632,Champagne,$79.97,"Champagne, France",164614,C/I: KVI,In Stock,CGM54529_0,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot Yellow Label Brut with Ice Jacket,NY,PA,USD,79.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,750,12,,90,,94,,90,90,,,,,,
w02,The Corton Grancey Cuverie ,https://www.wine.com/product/product/louis-latour-corton-charlemagne-grand-cru-2018/664712,Chardonnay,2523,Aloxe-Corton,$209.99,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",664712,C/I: Long Tail,In Stock,TONLA73_18_2018,Construction of the Cuverie began in 1832 and it is where all of Domaine Louis Latour wines are made and aged. It is built over five levels into the hill which allows the entire winemaking process to be carried by gravity.,Wine:Product Detail:Louis Latour Corton-Charlemagne Grand Cru 2018,NY,PA,USD,209.99,5,1,5,1,winery-image,2018-08-21T23:35:08+0000,750,14.5,97.0,95,95,93,93,,,,,,,,
w03,Elisabetta Gnudi Angelini,https://www.wine.com/product/product/altesino-brunello-di-montalcino-2017/877499,Sangiovese,868,Montalcino,$74.99,"Montalcino, Tuscany, Italy",877499,C/I: Popular,In Stock,WBO30289120_2017,Altesino Elisabetta Gnudi Angelini Winery Image,Wine:Product Detail:Altesino Brunello di Montalcino 2017,NY,PA,USD,74.99,5,1,5,1,winery-image,2018-08-20T20:16:45+0000,750,14,95.0,92,,,,,90,94,,,,,
w04,Il Molino di Grace  Winery Image,https://www.wine.com/product/product/il-molino-di-grace-il-volano-2019/780569,Tuscan Blends,1785,Tuscany,$14.98,"Tuscany, Italy",780569,C/I: Direct Import,In Stock,FNY780569_2019,Il Molino di Grace  Winery Image,Wine:Product Detail:Il Molino di Grace Il Volano 2019,NY,PA,USD,14.98,5,1,5,1,winery-image,2019-03-01T16:29:27+0000,750,13.5,,91,,,,,,,,,,,
w05,Wahluke Vineyard,https://www.wine.com/product/product/k-vintners-the-hidden-syrah-2018/781759,Syrah/Shiraz,144,Wahluke Slope,$69.99,"Wahluke Slope, Columbia Valley, Washington",781759,C/I: Exception,In Stock,OPI28265_2018,K Vintners Wahluke Vineyard Winery Image,Wine:Product Detail:K Vintners The Hidden Syrah 2018,NY,PA,USD,69.99,5,1,5,1,winery-image,2018-10-15T22:29:36+0000,750,14.5,95.0,92,,,,,,96,96,,,,
w06,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut/528,Non-Vintage Sparkling Wine,1835,Champagne,$74.97,"Champagne, France",528,C/I: KVI,In Stock,CGM517_0,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot Yellow Label Brut,NY,PA,USD,74.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,750,12,92.0,90,,91,,,,,,,,,
w07,The Cellars,https://www.wine.com/product/product/billecart-salmon-brut-rose/23291,Sparkling Rosé,338,Champagne,$99.99,"Champagne, France",23291,C/I: Exception,In Stock,TEWFR103_0,Billecart-Salmon The Cellars Winery Image,Wine:Product Detail:Billecart-Salmon Brut Rose,NY,PA,USD,99.99,5,1,5,1,winery-image,2019-03-04T21:38:04+0000,750,12,93.0,92,96,91,,,92,91,94,,,,
w08,"VINCENT CHAPERON, THE CELLAR MASTER",https://www.wine.com/product/product/dom-perignon-vintage-with-gift-box-2013/1215725,Vintage Sparkling Wine,94,Champagne,$299.97,"Champagne, France",1215725,C/I: Exception,In Stock,CGM56224_2013,In 2019 Vincent Chaperon became the Dom Pérignon Chef de Cave. He was born to a Bordeaux winemaking family where vineyards are a legacy and wine is a culture. Vincent sees Dom Pérignon’s vision – harmony as a source of emotion – as a true raison d’être. ,Wine:Product Detail:Dom Perignon Vintage with Gift Box 2013,NY,PA,USD,299.97,5,1,5,1,winery-image,2021-05-15T19:05:10+0000,750,12.5,98.0,96,,,,,,95,,,,,
w09,Monte Bello ,https://www.wine.com/product/product/ridge-three-valleys-red-2020/1005115,Other Red Blends,1235,Sonoma County,$27.99,"Sonoma County, California",1005115,C/I: KVI,In Stock,WLD18827_2020,Ridge Monte Bello  Winery Image,Wine:Product Detail:Ridge Three Valleys Red 2020,NY,PA,USD,27.99,5,1,5,1,winery-image,2020-03-12T22:18:34+0000,750,14.4,,93,92,,,,93,,,,,,
w10,2021 California Old Vine Zinfandel,https://www.wine.com/product/product/bedrock-wine-company-california-old-vine-zinfandel-2021/1199558,Zinfandel,964,California,$24.99,California,1199558,C/I: Long Tail,In Stock,PSLCBE182_2021,Bedrock Wine Company California Old Vine Zinfandel 2021 from California - This is one of the strongest Old Vine Zinfandel bottlings they have made to date albeit a slightly different blend composition due to one of Mother Nature’s cur...,Wine:Product Detail:Bedrock Wine Company California Old Vine Zinfandel 2021,NY,PA,USD,24.99,5,1,5,1,,,750,0,,94,,,,,,,,,,,
