,search_url,name,wine_url,productVarietal,productStock,productRegion,productPrice,productOrigin,productID,productCompetitiveIntensity,ProductAvailability,pProductID,description,pageName,shippingRegion,shipToState,priceCurrency,price,averageRating_bestRating,averageRating_worstRating,bestRating,worstRating,additionalType,uploadDate,prodAlcoholVolume_text,prodAlcoholPercent_percent,JS,WS,WW,D,BH,W&S,WE,RP,JD,SJ,V,CG,TP
w01,https://www.wine.com/list/wine/7155/1,Oyster Bay Vineyards in Hawke’s Bay,https://www.wine.com/product/product/oyster-bay-marlborough-sauvignon-blanc-2022/1132149,Sauvignon Blanc,2935,Marlborough,$13.99,"Marlborough, New Zealand",1132149,C/I: Popular,In Stock,PIN127630_2022,"Hawke’s Bay’s diversity of soil allows Oyster Bay to create aromatic and refreshing Pinot Gris and stunning, elegant Merlot.",Wine:Product Detail:Oyster Bay Marlborough Sauvignon Blanc 2022,NY,PA,USD,13.99,5,1,5,1,winery-image,2022-04-06T18:38:41+0000,750,12.5,90,,90,,,,,,,,,,
w02,https://www.wine.com/list/wine/7155/1,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut-with-ice-jacket/164614,Non-Vintage Sparkling Wine,630,Champagne,$79.97,"Champagne, France",164614,C/I: KVI,In Stock,CGM54529_0,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot Yellow Label Brut with Ice Jacket,NY,PA,USD,79.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,750,12,,90,,94,,90,90,,,,,,
w03,https://www.wine.com/list/wine/7155/1,The Corton Grancey Cuverie ,https://www.wine.com/product/product/louis-latour-corton-charlemagne-grand-cru-2018/664712,Chardonnay,2517,Aloxe-Corton,$209.99,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",664712,C/I: Long Tail,In Stock,TONLA73_18_2018,Construction of the Cuverie began in 1832 and it is where all of Domaine Louis Latour wines are made and aged. It is built over five levels into the hill which allows the entire winemaking process to be carried by gravity.,Wine:Product Detail:Louis Latour Corton-Charlemagne Grand Cru 2018,NY,PA,USD,209.99,5,1,5,1,winery-image,2018-08-21T23:35:08+0000,750,14.5,97,95,95,93,93,,,,,,,,
w04,https://www.wine.com/list/wine/7155/1,Elisabetta Gnudi Angelini,https://www.wine.com/product/product/altesino-brunello-di-montalcino-2017/877499,Sangiovese,865,Montalcino,$74.99,"Montalcino, Tuscany, Italy",877499,C/I: Popular,In Stock,WBO30289120_2017,Altesino Elisabetta Gnudi Angelini Winery Image,Wine:Product Detail:Altesino Brunello di Montalcino 2017,NY,PA,USD,74.99,5,1,5,1,winery-image,2018-08-20T20:16:45+0000,750,14,95,92,,,,,90,94,,,,,
w05,https://www.wine.com/list/wine/7155/1,,https://www.wine.com/product/product/90-point-sparkling-wine-and-bissingers-salted-caramel-collection/770056,Mixed Collections,7,,$49.99,,770056,,In Stock,PDX770056NJ_0,90 Point Sparkling Wine & Bissinger's Salted Caramel Collection from  - We welcome Bissingers to our gourmet chocolate partners. We are excited to offer this brand new gift set of highly rated Ferrari Brut Sparkling Wine with Bissin...,Wine Collections:Product Detail:90 Point Sparkling Wine & Bissinger's Salted Caramel Collection,NY,PA,USD,49.99,5,1,,,,,0,0,,,,,,,,,,,,,
w06,https://www.wine.com/list/wine/7155/1,2018 Sensation de Grandlieu Muscadet Sur Lie,https://www.wine.com/product/product/vignoble-malidain-sensation-de-grandlieu-muscadet-sur-lie-2018/1053903,Melon de Bourgogne,128,Loire,$14.99,"Loire, France",1053903,C/I: Direct Import,In Stock,FNY1053903_2018,"Vignoble Malidain Sensation de Grandlieu Muscadet Sur Lie 2018 from Loire, France - Transparent with hints of gold. On the nose, the wine is complex with notes of pear, quince and pineapple. Round, rich, fruity, intense pineapple flavors and a ...",Wine:Product Detail:Vignoble Malidain Sensation de Grandlieu Muscadet Sur Lie 2018,NY,PA,USD,14.99,5,1,5,1,,,750,12,,,,95,,,,,,,,,
w07,https://www.wine.com/list/wine/7155/1,Tenuta Sant'Anna Winery,https://www.wine.com/product/product/tenuta-santanna-prosecco-extra-dry/1040751,Non-Vintage Sparkling Wine,302,Prosecco,$15.99,"Prosecco, Italy",1040751,C/I: Long Tail,In Stock,FNY1040751_0,Tenuta Sant'Anna Tenuta Sant'Anna Winery Winery Image,Wine:Product Detail:Tenuta Sant'Anna Prosecco Extra Dry,NY,PA,USD,15.99,5,1,5,1,winery-image,2020-03-26T18:19:51+0000,750,11,,,,90,,,,,,,91,,
w08,https://www.wine.com/list/wine/7155/1,Il Molino di Grace  Winery Image,https://www.wine.com/product/product/il-molino-di-grace-il-volano-2019/780569,Tuscan Blends,1783,Tuscany,$14.98,"Tuscany, Italy",780569,C/I: Direct Import,In Stock,FNY780569_2019,Il Molino di Grace  Winery Image,Wine:Product Detail:Il Molino di Grace Il Volano 2019,NY,PA,USD,14.98,5,1,5,1,winery-image,2019-03-01T16:29:27+0000,750,13.5,,91,,,,,,,,,,,
w09,https://www.wine.com/list/wine/7155/1,,https://www.wine.com/product/product/90-point-champagne-and-bissingers-dark-chocolate-apricots/684726,Mixed Collections,190,,$59.99,,684726,,In Stock,PDX684726NY_0,90 Point Champagne & Bissinger's Dark Chocolate Apricots from  - Chocolate dipped apricots and Champagne come together in the perfect pairing:  Heidsieck Monopole Blue Top Brut and Bissinger's Dark Chocolate Apricots 12 pc. T...,Wine Collections:Product Detail:90 Point Champagne & Bissinger's Dark Chocolate Apricots,NY,PA,USD,59.99,5,1,,,,,0,0,,,,,,,,,,,,,
w10,https://www.wine.com/list/wine/7155/1,Wahluke Vineyard,https://www.wine.com/product/product/k-vintners-the-hidden-syrah-2018/781759,Syrah/Shiraz,144,Wahluke Slope,$69.99,"Wahluke Slope, Columbia Valley, Washington",781759,C/I: Exception,In Stock,OPI28265_2018,K Vintners Wahluke Vineyard Winery Image,Wine:Product Detail:K Vintners The Hidden Syrah 2018,NY,PA,USD,69.99,5,1,5,1,winery-image,2018-10-15T22:29:36+0000,750,14.5,95,92,,,,,,96,96,,,,
